iter	Passed	Remaining
0	0	97
1	1	85
2	2	77
3	2	70
4	3	68
5	4	67
6	5	66
7	5	66
8	6	65
9	7	63
10	7	62
11	8	62
12	9	61
13	9	60
14	10	59
15	11	58
16	11	58
17	12	57
18	13	56
19	14	56
20	14	55
21	15	54
22	16	54
23	16	53
24	17	52
25	18	52
26	18	51
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	23	46
33	23	46
34	24	45
35	25	45
36	25	44
37	26	43
38	27	43
39	28	42
40	29	41
41	29	40
42	29	39
43	30	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	65	5
92	66	4
93	67	4
94	68	3
95	69	2
96	70	2
97	71	1
98	71	0
99	72	0
